Date,Open,High,Low,Close,Adj Close,Volume,Returns,Short Term Reversal,Stock Momentum,Long Term Reversal,Market_Beta,Turnover Volatility,Dividends,Total Returns,Total Return Volatility,SMA_5,SMA_20,SMA_50,SMA_252,adv20,VWAP,log_returns,volatility_30,volatility_60,annual_volatility,RSI(2),RSI(7),RSI(14),CCI(30),CCI(50),CCI(100),BBWidth,Williams
2000-02-02,23.0,23.0,20.3125,21.375,10.306645393371582,6256700,0.9095747008763386,-0.297741273100616,-0.297741273100616,-0.2845188284518828,0.1514637206466567,1470781.585371676,0.0,-0.0904255319148936,0.0538170214531036,26.875,29.953125,31.14,38.132440476190474,1173785.0,36.81464803238073,-0.0947784063272894,0.2747081252650818,0.2885521698746806,0.3560752278430989,2.2674701097010015,8.668338156312274,16.55150354268713,-536.1448367583346,-548.4438108814447,-373.2834658940423,0.35378426736175334,-90.95744680851064
2000-02-03,21.1875,22.3125,21.0625,21.9375,10.577875137329102,5044000,1.0263160061887793,-0.26875,-0.26875,-0.285132382892057,0.1590934715593391,1703245.7971086912,0.0,0.0263157894736842,0.0537809884168123,25.2625,29.515625,30.91875,38.05109126984127,1333870.0,36.23744665680054,0.02597548640326064,0.2773272424883011,0.29065744119509723,0.3572167928204178,18.592357005442587,14.369288889306086,20.129052939281056,-361.66943266334715,-459.0489046654835,-349.11856427905207,0.43218760062047695,-86.17021276595744
2000-02-04,21.875,22.0,20.125,20.375,9.990683555603027,3314200,0.9444887017380376,-0.309322033898305,-0.309322033898305,-0.3305954825462012,0.1605251707249253,1742220.8164097853,0.365,-0.0533109607956234,0.0544189763460835,23.4375,29.0125,30.675,37.96478174603175,1481255.0,35.84312645981815,-0.07388884209915814,0.2827644125660943,0.29787545629228035,0.3642294125390309,9.643439601487959,11.951619207749728,17.84098865286503,-292.7677329624484,-420.93960208011566,-359.09948124478876,0.5205710283278548,-97.90575916230367
2000-02-07,20.375,20.5625,20.0625,20.3125,9.960039138793944,698100,0.9969327006867416,-0.3229166666666666,-0.3229166666666666,-0.3473895582329317,0.1605305418641873,1737827.7461350542,0.0,-0.0030674846625766,0.0537263012608247,21.5,28.471875,30.4375,37.87748015873016,1489595.0,35.76222830446316,-0.0030721990369704244,0.2817287903708022,0.2976981611073361,0.36415522775192705,9.285879477433525,11.858508731765916,17.754055161873413,-238.50505425206381,-365.05755796203516,-354.3215087069214,0.5910179422894134,-97.91666666666666
2000-02-08,20.375,20.6875,20.25,20.3125,9.960039138793944,807100,1.0,-0.1356382978723403,-0.1356382978723403,-0.3380855397148676,0.1607713958843213,1721600.4519662878,0.0,0.0,0.0538808666948893,20.8625,27.953125,30.2,37.79141865079365,1517060.0,35.66974302548607,0.0,0.28207039083350716,0.29783161521884294,0.36413869156968864,9.285879477433525,11.858508731765918,17.754055161873413,-191.90251572327023,-304.2786932639489,-332.36386251806334,0.6504197565327365,-97.91666666666666
2000-02-09,20.3125,20.375,19.8125,19.9375,9.776163101196287,1282000,0.9815386229877886,-0.0672514619883041,-0.0672514619883041,-0.3670634920634921,0.1676147563443815,1722385.2364106188,0.0,-0.0184615384615384,0.0528594319419103,20.575,27.375,29.96375,37.70560515873016,1507605.0,35.52156182636512,-0.018634079544892934,0.28148957712848705,0.29789462984089266,0.3644008779585548,4.913492172043967,11.149161565956474,17.171811288765632,-168.14524448112235,-270.42915931804873,-324.8273755367731,0.7011803296741185,-98.9795918367347
2000-02-10,19.9375,19.9375,18.0625,18.75,9.193880081176758,2792300,0.9404384916667072,-0.1452991452991453,-0.1452991452991453,-0.4011976047904192,0.1630925001662243,1746195.4071336738,0.0,-0.0595611285266457,0.0534566546378282,19.9375,26.746875,29.67375,37.61631944444444,1571310.0,35.18440611255939,-0.06140862812864345,0.2852842359630387,0.30168213274781136,0.36903933156889296,1.2338825397383355,9.131227151740948,15.444508449649803,-161.88839318364654,-258.5751716030565,-335.0596854670624,0.7583174010670407,-95.08928571428571
2000-02-11,18.8125,18.8125,18.0625,18.625,9.132591247558594,1121200,0.9933337358028363,-0.0858895705521471,-0.0858895705521471,-0.4110671936758893,0.1632226600995925,1731355.089388838,0.0,-0.0066666666666667,0.0530466822422579,19.5875,26.096875,29.3925,37.52852182539682,1602735.0,35.05180985715826,-0.006688988150796771,0.28435191112882996,0.30081537485683363,0.368944581814252,1.0658431260383052,8.932677255183963,15.27038254937676,-146.6922762746851,-232.79556741925563,-325.9430907064782,0.8035796979714056,-95.75471698113208
2000-02-14,18.75,19.375,18.625,19.1875,9.408409118652344,714400,1.030201490860273,-0.0553846153846153,-0.0553846153846153,-0.3847695390781563,0.1645034771091533,1716413.1764265054,0.0,0.0302013422818792,0.054374015117346,19.3625,25.496875,29.11625,37.44171626984127,1624620.0,34.97128019383742,0.029754261081793132,0.28694897600520275,0.3035343658265261,0.37025176838948803,55.54895041536015,18.263421316957213,19.659919832602665,-122.32041927859417,-195.90501574993942,-295.8219808071128,0.8339269473186004,-91.21951219512195
2000-02-15,19.5,19.75,19.25,19.375,9.500346183776855,746200,1.0097717971194773,-0.0461538461538461,-0.0461538461538461,-0.3660531697341513,0.1668480388220785,1705840.0363935528,0.0,0.009771986970684,0.0548222277538177,19.175,24.9375,28.835,37.35292658730159,1640985.0,34.88902318092601,0.00972454989199445,0.28509386621474986,0.3041802427733773,0.3699494877755719,67.48595488107462,21.395458308663716,21.12673948347647,-105.03798131493934,-169.7127545841263,-272.52139815204737,0.8570356263888894,-89.60396039603961
2000-02-16,19.125,19.3125,18.5,18.6875,9.163237571716309,920000,0.9645161759856492,-0.0626959247648902,-0.0626959247648902,-0.3947368421052631,0.1753166174462343,1694037.4217888615,0.0,-0.0354838709677419,0.0544480224699697,18.925,24.328125,28.535,37.260912698412696,1661370.0,34.78435240343055,-0.036128724088505315,0.28454879797865773,0.30501582197045735,0.37137412742944403,22.72780046392191,18.382260970335377,19.706046987375995,-103.24483775811208,-164.11720515106157,-271.68451004055333,0.8755679206682982,-94.9238578680203
2000-02-17,18.6875,18.6875,18.0,18.375,9.010008811950684,1281500,0.9832778798359884,-0.02,-0.02,-0.406060606060606,0.1753432795113676,1670449.3461341471,0.0,-0.0167224080267558,0.0541684150365475,18.85,23.7,28.225,37.16914682539682,1705870.0,34.6379996026007,-0.016863806052004993,0.28113631562831565,0.3044309838142882,0.371580663794195,14.178920055219123,17.10479876733452,19.078041552125697,-100.24198480725418,-157.12518039516766,-267.24100981526715,0.8852136705171132,-96.96969696969697
2000-02-18,18.3125,18.5,17.9375,18.3125,8.979361534118652,907200,0.9965985296494516,-0.0167785234899329,-0.0167785234899329,-0.4163346613545816,0.1715626739808524,1659952.0421972245,0.0,-0.0034013605442176,0.0536715486009757,18.7875,23.046875,27.92375,37.07390873015873,1722865.0,34.535569629314054,-0.003407158321614201,0.2813333379407397,0.30447411215939074,0.3708859027733089,12.324600138340182,16.8318644517554,18.947982215079737,-93.68803986138168,-145.96499392047085,-255.47075801756472,0.8762116527415762,-95.68345323741008
2000-02-22,18.3125,18.375,17.9375,18.25,8.948715209960938,685400,0.996587026366934,-0.0488599348534202,-0.0488599348534202,-0.416,0.1714412244896952,1659014.295836378,0.0,-0.0034129692832765,0.0536829564191928,18.6,22.396875,27.62625,36.97891865079365,1724270.0,34.45873609895042,-0.0034188067487854745,0.2787814561002642,0.3045292982289526,0.3708857338070665,9.769332494688406,16.524248619866285,18.80988700482287,-87.84983225039282,-135.93206979327144,-243.08917109504122,0.8511361571016899,-93.82716049382715
2000-02-23,18.4375,18.4375,17.5,17.5625,8.61160659790039,1077400,0.9623288255184044,-0.0935483870967741,-0.0935483870967741,-0.4276985743380855,0.1662279679141772,1649345.336880507,0.0,-0.0376712328767123,0.053746319129399,18.2375,21.740625,27.325,36.88144841269841,1742415.0,34.33435289181998,-0.038399132934535896,0.2795072625339764,0.30573518741281064,0.3725351910224675,1.7566714157454888,13.384949665718862,17.314977360364352,-86.24178047546792,-131.02775755744486,-236.3697381429646,0.8201585967462829,-98.7012987012987
2000-02-24,17.6875,17.6875,16.875,17.0,8.335787773132324,697500,0.9679712697471208,-0.0903010033444816,-0.0903010033444816,-0.4414784394250514,0.1702196180761244,1660129.5252178365,0.0,-0.0320284697508896,0.0536163781957687,17.9,21.06875,27.025,36.78422619047619,1722005.0,34.25213207327763,-0.03255260303774854,0.2759286457245289,0.30654148487605737,0.37349440658690813,0.7500344110675379,11.33025516245411,16.18181900842502,-88.61829151843428,-130.31956968834044,-233.83595316574062,0.7734758459894242,-97.5609756097561
2000-02-25,17.0,17.0,16.1875,16.4375,8.05997371673584,757300,0.9669120587156164,-0.1054421768707483,-0.1054421768707483,-0.4520833333333333,0.1804594089577201,1653890.0502738191,0.0,-0.0330882352941176,0.0535617706713674,17.5125,20.390625,26.72625,36.685267857142854,1731255.0,34.16085873492142,-0.03364803411823303,0.2758029202948629,0.3019172502864731,0.37470530569356447,0.349491534273977,9.609301669897725,15.11644286778287,-91.16913411031555,-129.61613986191176,-230.51412181947757,0.7085015151371504,-94.44444444444444
