Date,Open,High,Low,Close,Adj Close,Volume,Returns,Short Term Reversal,Stock Momentum,Long Term Reversal,Market_Beta,Turnover Volatility,Dividends,Total Returns,Total Return Volatility,SMA_5,SMA_20,SMA_50,SMA_252,adv20,VWAP,log_returns,volatility_30,volatility_60,annual_volatility,RSI(2),RSI(7),RSI(14),CCI(30),CCI(50),CCI(100),BBWidth,Williams
2000-02-02,10.652888298034668,10.798418998718262,10.623781204223633,10.740205764770508,3.865357160568237,394889,1.0,0.0193369430649941,0.0193369430649941,0.0137362118048247,0.3798369116945737,213212.76232711907,0.0,0.0,0.0196864731734645,10.681993675231933,10.738751077651978,10.553344306945801,12.443499523495872,746457.0,12.626593113333268,0.0,0.10340751445815069,0.1474564317239712,0.23351857346300028,58.35079508289044,51.74465707128668,51.032170064751504,15.070387396422856,33.85998747676044,-55.91279274830155,0.053167965578583234,-48.387103593186616
2000-02-03,10.652888298034668,10.973055839538574,10.594675064086914,10.943949699401855,3.93868350982666,867511,1.0189701355430874,0.0134770377682944,0.0134770377682944,0.0107526474474837,0.3841473213341279,211577.5974578396,0.0,0.0189702077496185,0.0195275532821447,10.711099815368652,10.744572305679322,10.54694091796875,12.439687990006947,744180.85,12.620365624252136,0.01879251706109386,0.10476928414031689,0.14888362812578498,0.23353830768845182,84.9960036919543,59.397726348386556,55.19095893482552,70.0852906268681,66.14935561215273,-45.8798730077421,0.05539387475526222,-25.80644820340679
2000-02-04,10.8566312789917,10.914843559265137,10.30361270904541,10.44914436340332,3.7606048583984375,475199,0.9547872655967578,0.0112676552919475,0.0112676552919475,-0.0217983707177373,0.3853493180595924,219892.08503371917,0.0,-0.045212683682709,0.0218893540987029,10.734384918212891,10.732929801940918,10.5335520362854,12.433566441611639,732703.5,12.615972778694983,-0.04626666873086327,0.11519459035421752,0.15346315857344872,0.23788296294360226,20.693566356375136,40.98226302692816,45.15996476125517,-88.37540858509308,-0.7962859388305213,-66.41279717083012,0.060536895055575114,-80.64503172945633
2000-02-07,10.478249549865724,10.594675064086914,10.332718849182127,10.361824989318848,3.729180335998535,419583,0.9916437584954656,-0.0404312899370951,-0.0404312899370951,-0.048128419546886,0.3854868684993151,225368.46841731985,0.0,-0.0083566051963351,0.0214282990340689,10.647066116333008,10.706734132766723,10.518998908996583,12.426982887207515,728376.65,12.611953098865854,-0.008391717370757057,0.11326636032263492,0.15350297480633227,0.23799321772022722,16.33253855406307,38.52326092404565,43.65216809065497,-159.173953136256,-30.31501872617143,-74.83043451013872,0.0664981493720723,-90.32251586472827
2000-02-08,10.420038223266602,10.681994438171388,10.361824989318848,10.390931129455566,3.739656686782837,399613,1.0028092904714667,-0.0325202927173532,-0.0325202927173532,-0.0351351784551847,0.3851592074137443,230254.7916064656,0.0,0.0028089781642444,0.0213606425071585,10.57721118927002,10.687815046310424,10.507356414794922,12.41982182245406,724736.95,12.608187390438843,0.002805040357499511,0.11149770980577921,0.15358813803854818,0.2375405651926909,26.63927402057546,39.92503265944687,44.31951382634576,-121.29046266038941,-15.200388390185003,-69.75823957941293,0.07135303603766278,-87.09672305110129
2000-02-09,10.332718849182127,10.478249549865724,10.041655540466309,10.30361270904541,3.708229541778565,677689,0.9915962486301628,-0.040650343697994,-0.040650343697994,-0.0354223858958263,0.3849024799210895,230413.7632631442,0.0,-0.0084033297230342,0.0213655011012288,10.489892578125,10.668895959854126,10.505027904510499,12.41358476971823,723802.85,12.601580022205017,-0.008438836756382795,0.11166264358475113,0.1536370890069587,0.23623780220518809,15.317661972789505,36.97427094766906,42.686209150542744,-201.99205693614476,-66.82055762563748,-84.26997814387032,0.07841032353583824,-76.92300583473705
2000-02-10,10.274505615234377,10.390931129455566,10.099868774414062,10.274505615234377,3.697752714157105,605970,0.997174708980816,-0.0611702449805728,-0.0611702449805728,-0.0433604494863308,0.3846365661265946,230425.2877047879,0.0,-0.0028249405944267,0.0213021611333256,10.356003761291504,10.64561095237732,10.495713901519775,12.406077199512058,723781.4,12.595629477413551,-0.0028289382696793375,0.11120333299404074,0.15361806160277267,0.23493437046195928,11.935772639695331,35.94122069738544,42.1288571631458,-195.17553944373068,-68.54567392879515,-84.34938898373971,0.08492660934366862,-77.77778789050929
2000-02-11,10.216294288635254,10.245400428771973,10.041655540466309,10.1580810546875,3.655853271484375,338415,0.9886689441096712,-0.0278552289635531,-0.0278552289635531,-0.0592992311288131,0.3859579780897033,245885.70907692707,0.0,-0.0113314026880524,0.0213244741970796,10.29779109954834,10.613594055175781,10.486399898529053,12.399378140767416,707333.05,12.592153488062399,-0.011396092177525574,0.10972417828141125,0.1538554418409136,0.23373094148637596,4.314844814280772,31.795668906860996,39.88555365206544,-207.4331796247826,-91.00597056221171,-91.15976805440447,0.09330120686252047,-87.49994880427259
2000-02-14,10.216294288635254,10.420038223266602,10.187188148498535,10.30361270904541,3.708229541778565,579558,1.0143266883008473,-0.0056179563284888,-0.0056179563284888,-0.040650343697994,0.3865193679768545,247391.41912530363,0.0,0.014326687646458,0.0216533499106939,10.286148643493652,10.591764402389526,10.478832263946533,12.39291008313497,699398.75,12.58657814209746,0.014225030447204912,0.11079974856672978,0.15477769661980337,0.23406708840758472,63.14482194060269,41.61632686005703,43.90641499924234,-130.6207970044616,-50.036500663372344,-77.57132578902987,0.09628311364544691,-71.87491040747703
2000-02-15,10.420038223266602,10.594675064086914,10.420038223266602,10.478249549865724,3.7710812091827393,689070,1.0169492386315515,0.0084033297230343,0.0084033297230343,-0.0163935585620627,0.389525098325531,245966.7765618433,0.0,0.0169490882229106,0.0219939715676686,10.303612327575683,10.583032464981079,10.47475736618042,12.386211020605904,693246.7,12.580488920641699,0.016807055068908117,0.10787522997770856,0.15518788900299765,0.23386559817085045,85.11250263466172,51.41103442801782,48.36925882050391,-60.48579233496114,-0.6363402385601883,-61.10801033936906,0.09665955381518077,-53.12498720106795
